organ,model_type,fold,protein,weight
Adipose,chronological,1,Intercept,57.1044228722264
Adipose,chronological,1,ADIPOQ,1.27774045748466
Adipose,chronological,1,CD300LG,0.359697350178859
Adipose,chronological,1,FABP4,2.81732857203834
Adipose,chronological,1,LEP,-0.801675705736661
Adipose,chronological,1,PLIN1,0.963173154759831
Adipose,chronological,2,Intercept,57.0799893370278
Adipose,chronological,2,ADIPOQ,1.32189833510447
Adipose,chronological,2,CD300LG,0.217972584671754
Adipose,chronological,2,FABP4,2.81994699867726
Adipose,chronological,2,LEP,-0.819639673665948
Adipose,chronological,2,PLIN1,0.987107781533582
Adipose,chronological,3,Intercept,57.0877172907384
Adipose,chronological,3,ADIPOQ,1.32175842083523
Adipose,chronological,3,CD300LG,0.294568410090951
Adipose,chronological,3,FABP4,2.73680580725703
Adipose,chronological,3,LEP,-0.802473308025217
Adipose,chronological,3,PLIN1,1.10631826761705
Adipose,chronological,4,Intercept,57.0834102966343
Adipose,chronological,4,ADIPOQ,1.30668666423957
Adipose,chronological,4,CD300LG,0.282221674306461
Adipose,chronological,4,FABP4,2.7398449578458
Adipose,chronological,4,LEP,-0.794384601959527
Adipose,chronological,4,PLIN1,1.07576226999338
Adipose,chronological,5,Intercept,57.0832974762074
Adipose,chronological,5,ADIPOQ,1.27370094510718
Adipose,chronological,5,CD300LG,0.267077967973878
Adipose,chronological,5,FABP4,2.72612862438223
Adipose,chronological,5,LEP,-0.761848787359942
Adipose,chronological,5,PLIN1,1.06594983506843
Adrenal,chronological,1,Intercept,57.2198852405446
Adrenal,chronological,1,AKR1B1,-0.187399638236105
Adrenal,chronological,1,FDX1,0.575227143037051
Adrenal,chronological,1,GSTA3,0.528377469127248
Adrenal,chronological,1,SCARB1,-0.123350592927604
Adrenal,chronological,2,Intercept,57.1908124045991
Adrenal,chronological,2,AKR1B1,-0.101647296990188
Adrenal,chronological,2,FDX1,0.588021089912052
Adrenal,chronological,2,GSTA3,0.497345435515504
Adrenal,chronological,2,SCARB1,-0.0328972580199969
Adrenal,chronological,3,Intercept,57.2101494376051
Adrenal,chronological,3,AKR1B1,-0.126887258201283
Adrenal,chronological,3,FDX1,0.570464716481337
Adrenal,chronological,3,GSTA3,0.461356608012844
Adrenal,chronological,3,SCARB1,-0.0681868175578646
Adrenal,chronological,4,Intercept,57.2060991470007
Adrenal,chronological,4,AKR1B1,-0.102978366464918
Adrenal,chronological,4,FDX1,0.600537545090424
Adrenal,chronological,4,GSTA3,0.477452854310517
Adrenal,chronological,4,SCARB1,-0.142694664990642
Adrenal,chronological,5,Intercept,57.2004053458975
Adrenal,chronological,5,AKR1B1,-0.0978429124994071
