predictor,weight
age,0.029353964
ada2,0.099491261
adamts13,-0.128153586
adamts16,0.097070584
adgrg2,-0.005514185
adm,0.191335791
ager,-0.276924813
agr2,0.034399365
apoe,-0.075457263
areg,-0.005805245
art3,-0.215725117
bag3,-0.064391821
bcam,0.194400347
bcan,-0.01494478
brk1,0.099807081
c7,0.050241198
ca14,-0.029057558
ca4,-0.103814564
calca,0.070480748
cblif,-0.034660872
cd248,-0.15575238
cd34,-0.001621645
cdcp1,-0.01565701
ceacam5,0.119829451
ceacam6,0.071034581
cela2a,-0.050333113
chad,-0.055156094
cndp1,-0.078615313
col24a1,0.098018235
cpa2,-0.006973108
crh,-0.045531367
crisp3,-0.227985467
crtac1,-0.137532908
cthrc1,0.090923928
ctrc,-0.037373094
dcxr,-0.108456609
ddc,-0.062976739
dkk4,-0.084424204
dsg4,-0.04803032
eda2r,0.167737797
egfr,0.005878648
epha4,-0.007561524
fap,-0.137882529
faslg,-0.016749283
fcrl1,-0.018107792
fgfbp1,-0.068519646
fgfbp2,-0.027362969
flt3,-0.125079859
fut3_fut5,0.026829529
galnt5,0.138523985
galnt7,-0.126913742
gdf15,0.107668152
gfap,0.209132471
gp2,0.096307256
gzma,-0.152706324
havcr1,0.053938526
hgf,0.110094224
hpgds,-0.012193783
icam3,0.288576126
icam5,0.043023223
igfbp3,-0.030544583
igfbp7,0.111604776
il1rl1,-0.001024753
il22,0.028680301
il6,-0.013744572
itga2,-0.013033678
itgam,-0.139848216
itgav,0.006030185
izumo1,-0.159282896
kit,-0.047343343
klk3,0.029428855
klk4,0.015070364
krt19,0.068816751
lcp1,-0.085180823
lrrn1,0.052069065
lrtm2,-0.208651159
ltbp2,0.457163801
lto1,-0.136903943
mep1b,-0.019177778
mepe,-0.083227652
met,-0.080694831
mmp10,-0.113440341
mmp12,0.14737764
mmp9,0.058012728
ncan,-0.126449842
nefl,0.325071818
nppb,0.023575072
ntf4,-0.132356723
ntprobnp,0.01812172
ocln,0.046941782
odam,-0.048970791
optc,-0.083726604
pepd,-0.096547934
prg3,-0.071408718
prss8,0.111906716
ptgr1,-0.062176138
ptn,0.027498932
rbfox3,0.116975605
reg3g,0.123769062
ren,0.068896784
scg2,-0.137662829
scg3,-0.047219443
scgb1a1,-0.056378508
scgb3a1,0.265602762
sdc4,-0.115249658
selenop,-0.080153962
sell,0.014768758
sez6l,-0.045588135
sfrp1,0.069474034
sftpd,0.037816669
skap1,-0.055014204
slitrk1,0.067015239
slitrk2,-0.104542859
sost,-0.123590138
spock1,0.164663205
spon1,0.130347786
spp1,0.123681499
tff3,0.11867381
tnc,0.031169845
tnfrsf10b,0.063336979
tnfrsf6b,0.034805482
tnn,-0.098905845
tnr,-0.144461235
tpk1,-0.12734439
ttr,-0.020352303
txndc15,0.079187131
vgf,-0.305091894
wfdc2,0.11880077
xg,-0.08933844
