SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
(Intercept),,,50.83113495,,
SCARF2.8956.96.3,SCARF2,Q96GP6,2.259681406,SL005222,9925.56
ARFIP2.12630.8.3,ARFIP2,P53365,1.734074534,SL019787,12630.8
SOST.13101.60.3,SOST,Q9BQB4,1.685100623,SL007631,5729.27
PTN.3045.72.2,PTN,P21246,1.640669747,SL002704,3045.72
WFDC2.11388.75.3,WFDC2,Q14508,1.354360447,SL001690,11388.75
AGRP.2813.11.2,AGRP,O00253,-1.284708148,SL006924,2813.11
GDF15.4374.45.2,GDF15,Q99988,1.275807445,SL003869,4374.45
MXRA8.10521.10.3,MXRA8,Q9BRK3,1.079100076,SL017989,7002.1
IGDCC4.9793.145.3,IGDCC4,Q8TDY8,-1.076529607,SL019123,9793.145
CGA.FSHB.3032.11.2,CGA,P01215,1.006121404,SL013948,14056.4
CD93.14136.234.3,CD93,Q9NPY3,-0.908136488,SL007696,14136.234
MSMP.8080.24.3,MSMP,Q1L6U9,-0.902728106,SL011622,8080.24
NTRK3.2658.27.1,NTRK3,Q16288,0.81768404,SL004639,2658.27
CHAD.13460.4.3,CHAD,O15335,-0.781696659,SL012363,13460.4
ADAMTS5.3168.8.2,ADAMTS5,Q9UNA0,0.742040437,SL004626,3168.8
COL15A1.8974.172.3,COL15A1,P39059,-0.717761963,SL007218,8974.172
MLN.5631.83.3,MLN,P12872,0.667657515,SL008634,5631.83
CDON.4541.49.2,CDON,Q4KMG0,-0.657691706,SL014092,4541.49
KLK3.8468.19.3,KLK3,P07288,0.65116703,SL000062,8468.19
SCG3.7957.2.3,SCG3,Q8WXD2,-0.64822133,SL012750,7957.2
PTPRD.9296.15.3,PTPRD,P23468,-0.647544114,SL008499,9296.15
KLK7.3378.49.2,KLK7,P49862,-0.566508158,SL000064,3378.49
C1QTNF3.7251.64.3,C1QTNF3,Q9BXJ4,0.545624665,SL012818,7251.64
DLK1.6496.60.3,DLK1,P80370,0.533579326,SL000679,8380.244
CTSF.9212.22.3,CTSF,Q9UBX1,0.5282872,SL008381,9212.22
SVEP1.11109.56.3,SVEP1,Q4LDE5,0.513893143,SL012540,11178.21
DSG2.9484.75.3,DSG2,Q14126,-0.492712941,SL004857,9484.75
RET.3220.40.2,RET,P07949,-0.489805199,SL010378,3220.4
CCDC80.3234.23.2,CCDC80,Q76M96,0.488798348,SL010390,3234.23
RSPO4.8464.31.3,RSPO4,Q2I0M5,0.457383997,SL012517,8464.31
PTGDS.10514.5.3,PTGDS,P41222,0.455178592,SL005360,10514.5
ART3.7970.315.3,ART3,Q13508,-0.453394335,SL018330,7970.315
DPT.4979.34.2,DPT,Q07507,0.440000265,SL008178,4979.34
DCTPP1.4314.12.2,DCTPP1,Q9H773,0.435450757,SL011809,4314.12
ISLR2.13124.20.3,ISLR2,Q6UXK2,-0.432731619,SL018587,8528.74
MENT.5744.12.3,MENT,Q9BUN1,-0.422502571,SL017113,5744.12
ASPN.6451.64.3,ASPN,Q9BXN1,0.402744933,SL008299,6451.64
MMP12.4496.60.2,MMP12,P39900,0.4001586,SL000522,4496.6
CTSV.3364.76.2,CTSV,O60911,-0.398146557,SL006910,3364.76
