SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
(Intercept),,,73.17575662324498,,
10000-28,CRYBB2,P43320,0.0,SL019233,seq.10000.28
10001-7,RAF1,P04049,-0.0007565491215386059,SL002564,seq.10001.7
10003-15,ZNF41,P51814,3.4312817922846897e-05,SL019245,seq.10003.15
10006-25,ELK1,P19419,-0.0012675737861190665,SL019228,seq.10006.25
10008-43,GUCA1A,P43080,0.002297287567520504,SL019234,seq.10008.43
10011-65,OCRL,Q01968,-0.006538088897920669,SL019246,seq.10011.65
10012-5,SPDEF,O95238,-0.0007409024861623705,SL014669,seq.10012.5
10014-31,SNAI2,O43623,0.0,SL007803,seq.10014.31
10015-119,KCNAB2,Q13303,0.001969760160462296,SL014924,seq.10015.119
10022-207,POLH,Q9Y253,0.0,SL019229,seq.10022.207
10023-32,VDR,P11473,0.0025548392218360362,SL004071,seq.10023.32
10024-44,HOGA1,Q86XE5,5.538817891782668e-05,SL019235,seq.10024.44
10030-8,MUTYH,Q9UIF7,0.00046161391083258117,SL006373,seq.10030.8
10035-6,DUSP4,Q13115,0.0,SL007389,seq.10035.6
10036-201,ZHX3,Q9H4I2,0.0004725331715857266,SL019252,seq.10036.201
10037-98,SIGLEC12,Q96PQ1,0.0,SL018490,seq.10037.98
10040-63,TP63,Q9H3D4,0.005911754489842421,SL007662,seq.10040.63
10041-3,HNF4A,P41235,-2.0782693494260067e-05,SL007226,seq.10041.3
10042-8,SGK3,Q96BR1,-0.0010835598172483755,SL015131,seq.10042.8
10043-31,BRD4,O60885,4.756021298029054e-05,SL019249,seq.10043.31
10045-47,CUL3,Q13618,0.0007494031430286505,SL010989,seq.10045.47
10046-55,BIRC2,Q13490,0.0,SL003727,seq.10046.55
10047-12,NCF2,P19878,0.001077781238125539,SL004553,seq.10047.12
10048-7,CBFB,Q13951,0.0,SL011998,seq.10048.7
10049-112,TERF1,P54274,8.335558477780394e-05,SL019242,seq.10049.112
10053-5,ILK,Q13418,-4.439934564912075e-05,SL004474,seq.10053.5
10054-3,GAN,Q9H2C0,0.0,SL019232,seq.10054.3
10056-5,FOXM1,Q08050,-0.004954007513005027,SL007372,seq.10056.5
10058-1,RAD23A,P54725,-4.470968812304227e-05,SL013796,seq.10058.1
10063-10,FANCL,Q9NW38,0.0,SL019237,seq.10063.10
10064-12,RBBP9,O75884,0.014952966750050149,SL011550,seq.10064.12
10070-22,PLCG2,P16885,-0.00015581642224868247,SL016406,seq.10070.22
10073-22,TDP1,Q9NUW8,0.0,SL011411,seq.10073.22
10074-128,BRD2,P25440,0.0,SL014748,seq.10074.128
10075-75,ACBD6,Q9BR61,0.0,SL019254,seq.10075.75
10076-1,AP4M1,O00189,-8.652994591648609e-05,SL019225,seq.10076.1
10078-5,BAG3,O95817,0.0,SL007063,seq.10078.5
10080-9,EIF2B1,Q14232,0.001610613350173912,SL019240,seq.10080.9
10081-17,SATB2,Q9UPW6,7.953800254827533e-06,SL019243,seq.10081.17
10082-251,NEFL,P07196,-2.6013129852991034e-05,SL019251,seq.10082.251
10085-25,STAR,P49675,0.0,SL001714,seq.10085.25
10086-39,CBS,P35520,-5.664670580797304e-05,SL018882,seq.10086.39
10087-10,CRYAA,P02489,-0.000270940032599398,SL003675,seq.10087.10
