SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot,seqid_dot_full,n_models_nonzero
18830-1,ITLN1,Q8WWA0,0.0,SL011968,seq.18830.1,seq.18830.1.3,0
3554-24,ADIPOQ,Q15848,0.0,SL004258,seq.3554.24,seq.3554.24.1,0
8484-24,LEP,P41159,0.0,SL000498,seq.8484.24,seq.8484.24.3,0
15386-7,FABP4,P15090,0.0,SL005086,seq.15386.7,seq.15386.7.3,0
6578-29,TNMD,Q9H2S6,0.0,SL017502,seq.6578.29,seq.6578.29.3,0
3339-33,THBS2,P35442,0.0,SL007206,seq.3339.33,seq.3339.33.1,0
4455-89,MFGE8,Q08431,-5.391142929899841e-05,SL006523,seq.4455.89,seq.4455.89.2,2
4807-13,COL8A1,P27658,0.0,SL008072,seq.4807.13,seq.4807.13.3,0
14111-15,THBS2,P35442,-0.00012189706214466001,SL007206,seq.14111.15,seq.14111.15.3,4
2607-54,CRLF1|CLCF1,O75462|Q9UBD9,0.0,SL004692,seq.2607.54,seq.2607.54.2,0
3284-75,BGN,P21810,0.0,SL007804,seq.3284.75,seq.3284.75.1,0
10889-2,MRAP2,Q96G30,-0.0006617722505696808,SL017998,seq.10889.2,seq.10889.2.3,13
9561-21,VCAN,P13611,0.00017024306967107345,SL008036,seq.9561.21,seq.9561.21.3,4
14747-9,CRLF1,O75462,0.0,SL020310,seq.14747.9,seq.14747.9.3,0
6520-87,MGP,P08493,0.0,SL007091,seq.6520.87,seq.6520.87.3,0
13740-51,FRZB,Q92765,0.0,SL004650,seq.13740.51,seq.13740.51.3,0
8304-50,TNFRSF11B,O00300,0.010074471015291816,SL002539,seq.8304.50,seq.8304.50.3,47
13101-60,SOST,Q9BQB4,2.58046481210686e-05,SL007631,seq.13101.60,seq.13101.60.3,1
3280-49,ACAN,P16112,0.0,SL004661,seq.3280.49,seq.3280.49.2,0
15404-3,IFNA21,P01568,-2.183123031494e-07,SL018851,seq.15404.3,seq.15404.3.3,1
15604-18,MAPK9,P45984,0.0002991679348858054,SL004716,seq.15604.18,seq.15604.18.3,5
18904-23,CAMK4,Q16566,0.0,SL021171,seq.18904.23,seq.18904.23.3,0
16900-29,MDGA1,Q8NFP4,0.0,SL012713,seq.16900.29,seq.16900.29.3,0
17343-6,SNPH,O15079,0.0,SL019113,seq.17343.6,seq.17343.6.3,0
3489-9,CNTF,P26441,0.0,SL004331,seq.3489.9,seq.3489.9.2,0
7218-87,ATP1B2,P14415,0.0,SL018093,seq.7218.87,seq.7218.87.3,0
7785-1,EFNB3,Q15768,0.0,SL004142,seq.7785.1,seq.7785.1.3,0
8285-64,ADCYAP1,P18509,0.0,SL018448,seq.8285.64,seq.8285.64.3,0
