gene,uniprot,assay_id,panel,source
A1BG,P04217,OID30771,Inflammation_II,Allen_AIFI_Olink
AAMDC,Q9H7C9,OID30236,Cardiometabolic_II,Allen_AIFI_Olink
AARSD1,Q9BTE6,OID21311,Oncology,Allen_AIFI_Olink
ABCA2,Q9BZC7,OID30146,Cardiometabolic_II,Allen_AIFI_Olink
ABHD14B,Q96IU4,OID20921,Neurology,Allen_AIFI_Olink
ABL1,P00519,OID21280,Oncology,Allen_AIFI_Olink
ABO,P16442,OID30675,Inflammation_II,Allen_AIFI_Olink
ABRAXAS2,Q15018,OID30130,Cardiometabolic_II,Allen_AIFI_Olink
ACAA1,P09110,OID21269,Oncology,Allen_AIFI_Olink
ACADM,P11310,OID31277,Oncology_II,Allen_AIFI_Olink
ACADSB,P45954,OID30356,Cardiometabolic_II,Allen_AIFI_Olink
ACAN,P16112,OID20159,Cardiometabolic,Allen_AIFI_Olink
ACE,P12821,OID30696,Inflammation_II,Allen_AIFI_Olink
ACE2,Q9BYF1,OID20105,Cardiometabolic,Allen_AIFI_Olink
ACHE,P22303,OID30585,Inflammation_II,Allen_AIFI_Olink
ACOT13,Q9NPJ3,OID31522,Oncology_II,Allen_AIFI_Olink
ACOX1,Q15067,OID20124,Cardiometabolic,Allen_AIFI_Olink
ACP1,P24666,OID30524,Inflammation_II,Allen_AIFI_Olink
ACP5,P13686,OID20314,Cardiometabolic,Allen_AIFI_Olink
ACP6,Q9NPH0,OID21432,Oncology,Allen_AIFI_Olink
ACRBP,Q8NEB7,OID31385,Oncology_II,Allen_AIFI_Olink
ACRV1,P26436,OID30513,Inflammation_II,Allen_AIFI_Olink
ACSL1,P33121,OID30080,Cardiometabolic_II,Allen_AIFI_Olink
ACTA2,P62736,OID20079,Cardiometabolic,Allen_AIFI_Olink
ACTN2,P35609,OID30192,Cardiometabolic_II,Allen_AIFI_Olink
ACTN4,O43707,OID20435,Inflammation,Allen_AIFI_Olink
ACVRL1,P37023,OID20999,Neurology,Allen_AIFI_Olink
ACY1,Q03154,OID20137,Cardiometabolic,Allen_AIFI_Olink
ACY3,Q96HD9,OID30086,Cardiometabolic_II,Allen_AIFI_Olink
ACYP1,P07311,OID30642,Inflammation_II,Allen_AIFI_Olink
ADA,P00813,OID20645,Inflammation,Allen_AIFI_Olink
ADA2,Q9NZK5,OID20394,Cardiometabolic,Allen_AIFI_Olink
ADAM12,O43184,OID30491,Inflammation_II,Allen_AIFI_Olink
ADAM15,Q13444,OID20109,Cardiometabolic,Allen_AIFI_Olink
ADAM22,Q9P0K1,OID21001,Neurology,Allen_AIFI_Olink
ADAM23,O75077,OID20651,Inflammation,Allen_AIFI_Olink
ADAM8,P78325,OID21039,Neurology,Allen_AIFI_Olink
ADAM9,Q13443,OID31488,Oncology_II,Allen_AIFI_Olink
ADAMTS1,Q9UHI8,OID30528,Inflammation_II,Allen_AIFI_Olink
ADAMTS13,Q76LX8,OID20249,Cardiometabolic,Allen_AIFI_Olink
ADAMTS15,Q8TE58,OID21275,Oncology,Allen_AIFI_Olink
ADAMTS16,Q8TE57,OID20089,Cardiometabolic,Allen_AIFI_Olink
ADAMTS4,O75173,OID30471,Inflammation_II,Allen_AIFI_Olink
ADAMTS8,Q9UP79,OID21502,Oncology,Allen_AIFI_Olink
ADAMTSL2,Q86TH1,OID30370,Cardiometabolic_II,Allen_AIFI_Olink
ADAMTSL4,Q6UY14,OID30275,Cardiometabolic_II,Allen_AIFI_Olink
ADAMTSL5,Q6ZMM2,OID30355,Cardiometabolic_II,Allen_AIFI_Olink
ADCYAP1R1,P41586,OID21188,Oncology,Allen_AIFI_Olink
