gene_simple,gene_tanaka,gene_lehallier,seqid_sl,seqid_dot,seqid_full
REG4,REG4,,SL012561,,
CHI3L1,CHI3L1,CHI3L1,SL003340,11104.13.3,CHI3L1.11104.13.3
SECTM1,SECTM1,SECTM1,SL005430,13093.6.3,SECTM1.13093.6.3
SOST,SOST,SOST,SL007631,13101.60.3,SOST.13101.60.3
CHKB,CHKB,,SL018256,,
SMOC1,SMOC1,,SL011888,,
ISLR2,ISLR2,ISLR2,SL018587,13124.20.3,ISLR2.13124.20.3
C10orf54,C10orf54,C10orf54,SL017424,14123.34.3,C10orf54.14123.34.3
IFNA10,IFNA10,,SL017106,,
EFNA3,EFNA3,,SL004139,,
KIT,KIT,KIT,SL004010,2475.1.3,KIT.2475.1.3
CCL21,CCL21,CCL21,SL003193,2516.57.3,CCL21.2516.57.3
IGFBP3,IGFBP3,,SL000045,,
PRL,PRL,PRL,SL000546,2585.2.5,PRL.2585.2.5
EGFR,EGFR,EGFR,SL002644,2677.1.1,EGFR.2677.1.1
SIGLEC6,SIGLEC6,,SL005217,,
GDF11,GDF11_MSTN,GDF11_MSTN,SL021043,MSTN.2765.4.3,GDF11.MSTN.2765.4.3
AGRP,AGRP,AGRP,SL006924,2813.11.2,AGRP.2813.11.2
CDH5,CDH5,,SL002081,,
EDA,EDA,,SL004644,,
CXCL1,CXCL1,CXCL1,SL003173,2985.35.1,CXCL1.2985.35.1
CGA,CGA_FSHB,CGA_FSHB,SL000428,FSHB.3032.11.2,CGA.FSHB.3032.11.2
IL19,IL19,IL19,SL004354,3035.80.2,IL19.3035.80.2
PTN,PTN,PTN,SL002704,3045.72.2,PTN.3045.72.2
ADAMTS5,ADAMTS5,ADAMTS5,SL004626,3168.8.2,ADAMTS5.3168.8.2
RET,RET,RET,SL010378,3220.40.2,RET.3220.40.2
SFRP1,SFRP1,SFRP1,SL003770,3221.54.1,SFRP1.3221.54.1
CD5L,CD5L,,SL006108,,
CST6,CST6,CST6,SL004438,14711.27.3,CST6.14711.27.3
LRP8,LRP8,,SL004610,,
PGLYRP1,PGLYRP1,,SL004515,,
CTSV,CTSV,CTSV,SL006910,3364.76.2,CTSV.3364.76.2
KLK7,KLK7,KLK7,SL000064,3378.49.2,KLK7.3378.49.2
REN,REN,,SL000565,,
FSTL3,FSTL3,,SL009324,,
BCAN,BCAN,BCAN,SL009089,3461.58.1,BCAN.3461.58.1
LTA,LTA_LTB,,SL000507,,
CHIT1,CHIT1,CHIT1,SL006029,3600.2.3,CHIT1.3600.2.3
DKK3,DKK3,,SL009412,,
PRSS27,PRSS27,,SL011069,,
ALB,ALB,,SL000254,,
CXCL10,CXCL10,CXCL10,SL003183,4141.79.1,CXCL10.4141.79.1
NTF3,NTF3,,SL004359,,
TNC,TNC,,SL003198,,
BOC,BOC,,SL013490,,
GDF15,GDF15,GDF15,SL003869,4374.45.2,GDF15.4374.45.2
ENTPD5,ENTPD5,,SL014028,,
TGM3,TGM3,,SL008945,,
MMP12,MMP12,MMP12,SL000522,4496.60.2,MMP12.4496.60.2
CDON,CDON,CDON,SL014092,4541.49.2,CDON.4541.49.2
CLU,CLU,,SL001896,,
LPO,LPO,LPO,SL007153,4801.13.3,LPO.4801.13.3
SELL,SELL,SELL,SL002823,4831.4.2,SELL.4831.4.2
VEGFA,VEGFA,,SL003310,,
CCL16,CCL16,,SL003300,,
ITGAV,ITGAV_ITGB5,ITGAV_ITGB5,SL003182,ITGB5.4917.62.1,ITGAV.ITGB5.4917.62.1
DPT,DPT,DPT,SL008178,4979.34.2,DPT.4979.34.2
ICOSLG,ICOSLG,,SL004853,,
LAG3,LAG3,LAG3,SL005195,9950.229.3,LAG3.9950.229.3
ROBO2,ROBO2,ROBO2,SL007680,5116.62.2,ROBO2.5116.62.2
UNC5D,UNC5D,,SL005231,,
MIF,MIF,,SL003080,,
FAS,FAS,FAS,SL002731,9459.7.3,FAS.9459.7.3
CTSD,CTSD,,SL000344,,
EGF,EGF,,SL000084,,
LMAN2,LMAN2,LMAN2,SL005403,7638.30.3,LMAN2.7638.30.3
NPPB,NPPB,NPPB,SL002785,7655.11.3,NPPB.7655.11.3
RSPO4,RSPO4,RSPO4,SL012517,8464.31.3,RSPO4.8464.31.3
KLK3,KLK3,KLK3,SL000062,8468.19.3,KLK3.8468.19.3
ITGA2B,ITGA2B_ITGB3,,SL000542,,
CSRP3,CSRP3,,SL016969,,
HMGN1,HMGN1,,SL013165,,
TFF2,TFF2,,SL002602,,
CTSF,CTSF,CTSF,SL008381,9212.22.3,CTSF.9212.22.3
FTCD,FTCD,,SL018900,,
PLXNB2,PLXNB2,PLXNB2,SL009948,9216.100.3,PLXNB2.9216.100.3
SCARF2,,SCARF2,,8956.96.3,SCARF2.8956.96.3
ARFIP2,,ARFIP2,,12630.8.3,ARFIP2.12630.8.3
WFDC2,,WFDC2,,11388.75.3,WFDC2.11388.75.3
MXRA8,,MXRA8,,10521.10.3,MXRA8.10521.10.3
IGDCC4,,IGDCC4,,9793.145.3,IGDCC4.9793.145.3
CD93,,CD93,,14136.234.3,CD93.14136.234.3
MSMP,,MSMP,,8080.24.3,MSMP.8080.24.3
NTRK3,,NTRK3,,2658.27.1,NTRK3.2658.27.1
CHAD,,CHAD,,13460.4.3,CHAD.13460.4.3
COL15A1,,COL15A1,,8974.172.3,COL15A1.8974.172.3
MLN,,MLN,,5631.83.3,MLN.5631.83.3
SCG3,,SCG3,,7957.2.3,SCG3.7957.2.3
PTPRD,,PTPRD,,9296.15.3,PTPRD.9296.15.3
C1QTNF3,,C1QTNF3,,7251.64.3,C1QTNF3.7251.64.3
DLK1,,DLK1,,6496.60.3,DLK1.6496.60.3
SVEP1,,SVEP1,,11109.56.3,SVEP1.11109.56.3
SVEP1,,SVEP1,,11178.21.3,SVEP1.11178.21.3
DSG2,,DSG2,,9484.75.3,DSG2.9484.75.3
CCDC80,,CCDC80,,3234.23.2,CCDC80.3234.23.2
PTGDS,,PTGDS,,10514.5.3,PTGDS.10514.5.3
ART3,,ART3,,7970.315.3,ART3.7970.315.3
