SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
(Intercept),,,46.8282184523,(Intercept),
SL002644,ERBB1,P00533,-4.7923855971,SL002644,seq.2677.1
SL002805,Collagen Type III,P02461,-3.0399753146,SL002805,seq.18880.81
SL000251,a2-HS-Glycoprotein,P02765,-2.6311887573,SL000251,seq.3581.53
SL000268,Angiostatin,P00747,-2.3057640013,SL000268,seq.3710.49
SL007218,COFA1,P39059,-1.9880804291,SL007218,seq.8974.172
SL000064,Kallikrein 7,P49862,-1.4788370312,SL000064,seq.3378.49
SL008847,CILP2,Q8IUL8,-1.3424237336,SL008847,seq.8841.65
SL007696,C1QR1,Q9NPY3,-1.1232852974,SL007696,seq.14136.234
SL006460,GP1BA,P07359,-0.8243369085,SL006460,seq.4990.87
SL015084,UXS1,Q8NBZ7,-0.8125743453,SL015084,seq.8258.22
SL007153,PERL,P22079,-0.8110935581,SL007153,seq.4801.13
SL002545,GP100,P40967,-0.7876271482,SL002545,seq.6472.40
SL005164,Galectin-2,P05162,-0.6759656108,SL005164,seq.3033.57
SL005797,PIGR,P01833,-0.5882833981,SL005797,seq.3216.2
SL012363,CHAD,O15335,-0.5695207503,SL012363,seq.13460.4
SL018587,ISLR2,Q6UXK2,-0.5187935693,SL018587,seq.8528.74
SL019940,RHG30,Q7Z6I6,-0.5187869578,SL019940,seq.12807.89
SL012454,ISK7,P58062,-0.49532626,SL012454,seq.10974.20
SL014751,G0S2,P27469,-0.486078393,SL014751,seq.8931.124
SL008072,CO8A1,P27658,-0.4830587503,SL008072,seq.4807.13
SL014092,CDON,Q4KMG0,-0.4417634021,SL014092,seq.4541.49
SL000545,Prekallikrein,P03952,-0.4199930481,SL000545,seq.4152.58
SL004551,Complement receptor type 2,P20023,-0.3074179881,SL004551,seq.15570.99
SL004470,Amyloid-like protein 1,P51693,-0.3052916532,SL004470,seq.7210.25
SL012396,ANGL1,O95841,-0.30318925,SL012396,seq.9092.33
SL018467,DAG1,Q14118,-0.2934375546,SL018467,seq.8369.102
SL015449,CRNN,Q9UBG3,-0.2882173173,SL015449,seq.17738.7
SL019563,DUS23,Q9BVJ7,-0.2749235947,SL019563,seq.17326.44
SL020888,PMM1,Q92871,-0.252003563,SL020888,seq.17408.2
SL000541,Plasminogen,P00747,-0.2486551239,SL000541,seq.4151.6
SL010469,RGM-C,Q6ZVN8,-0.2401413376,SL010469,seq.3332.57
SL007661,CHRD,Q9H2X0,-0.2310060156,SL007661,seq.13438.115
SL004683,Noggin,Q13253,-0.2288466286,SL004683,seq.8778.3
SL003197,TECK,O15444,-0.2251164108,SL003197,seq.2705.5
SL017973,B3GA3,O94766,-0.2178074079,SL017973,seq.6897.38
SL006915,IL-27,Q8NEV9|Q14213,-0.19049455,SL006915,seq.2829.19
SL018249,LRP12,Q9Y561,-0.1901909673,SL018249,seq.7744.10
SL010378,RET,P07949,-0.1879943716,SL010378,seq.3220.40
SL004350,IL-17B,Q9UHF5,-0.1761957064,SL004350,seq.3499.77
SL004131,B7-2,P42081,-0.1759608153,SL004131,seq.6232.54
SL000255,"Alkaline phosphatase, liver",P05186,-0.1524056344,SL000255,seq.16926.44
SL004670,Artemin,Q5T4W7,-0.1504196938,SL004670,seq.2939.10
SL004807,S100A2,P29034,-0.1421163947,SL004807,seq.11969.5
SL013289,TES,Q9UGI8,-0.1181224281,SL013289,seq.17419.17
SL006399,DCAK1,O15075,-0.1108111352,SL006399,seq.17156.72
SL019578,NRSN1,Q8IZ57,-0.0992239516,SL019578,seq.11654.77
SL012148,PEX5,P50542,-0.0962499577,SL012148,seq.5915.58
SL004415,ACE2,Q9BYF1,-0.0947795048,SL004415,seq.2805.6
SL003349,HIF-1a,Q16665,-0.0867761496,SL003349,seq.13089.6
SL007283,CCP1,P53805,-0.0817187504,SL007283,seq.13465.5
SL000506,Luteinizing hormone,P01215|P01229,-0.0782770443,SL000506,seq.2953.31
SL009105,VAMP2,P63027,-0.0737063193,SL009105,seq.22963.3
SL008392,GUC2B,Q16661,-0.0704444018,SL008392,seq.6223.5
SL003561,Apo-TC II,P20062,-0.0698738778,SL003561,seq.15560.52
SL010377,OMGP,P23515,-0.0679621185,SL010377,seq.16908.5
SL019369,NAGPA,Q9UK23,-0.0662620034,SL019369,seq.11208.15
SL003680,sRAGE,Q15109,-0.0594817532,SL003680,seq.4125.52
SL009649,Catechol O-methyltransferase,P21964,-0.0584180401,SL009649,seq.18382.109
SL000565,Renin,P00797,-0.0582716575,SL000565,seq.3396.54
SL019027,PCDGD,Q9Y5G3,-0.04836266,SL019027,seq.11872.9
SL000461,IgE,P01854,-0.0438987297,SL000461,seq.4135.84
SL009488,COL11A2,P13942,-0.0369589024,SL009488,seq.11278.4
SL013799,NRG3,P56975,-0.0287061379,SL013799,seq.20524.38
SL005168,Growth hormone receptor,P10912,-0.0211061938,SL005168,seq.2948.58
SL018080,CF058,Q6P5S2,-0.0208440737,SL018080,seq.7154.92
SL007806,IL22RA1,Q8N6P7,-0.0206505626,SL007806,seq.9603.9
SL011409,SLIT3,O75094,-0.0205959045,SL011409,seq.18931.40
SL007489,TRAT1,Q6PIZ9,-0.0204803915,SL007489,seq.7224.11
SL008517,IGLL1,P15814,-0.0194739824,SL008517,seq.6485.59
SL018014,INSI1,O15503,-0.0189738985,SL018014,seq.10663.42
SL000460,IgD,P01880,-0.0111087686,SL000460,seq.4916.2
SL018134,T132C,Q8N3T6,-0.0017356024,SL018134,seq.7173.141
SL014148,ROBO3,Q96MS0,0.0001879299,SL014148,seq.5117.14
