"SOMAID","Gene","UniProt","Weight","seqid_sl","seqid_dot"
"(Intercept)","","",90.2171267255279,"",""
"SL012561","REG4","Q9BYZ8",3.00442329160943,"SL012561","11102.22"
"SL003340","CHI3L1","P36222",0.361052517518841,"SL003340","11104.13"
"SL005430","SECTM1","Q8WVN6",2.9942786647874,"SL005430","13093.6"
"SL007631","SOST","Q9BQB4",5.60446877467026,"SL007631","13101.60"
"SL018256","CHKB","Q9Y259",-2.7911017508679,"SL018256","13117.232"
"SL011888","SMOC1","Q9H4F8",2.8864798163937,"SL011888","13118.5"
"SL018587","ISLR2","Q6UXK2",-0.870865769690328,"SL018587","13124.20"
"SL017424","C10orf54","Q9H7M9",-0.18811256555569,"SL017424","14123.34"
"SL017106","IFNA10","P01566",0.0235056972773015,"SL017106","14128.121"
"SL004139","EFNA3","P52797",-3.00178567326693,"SL004139","14153.8"
"SL004010","KIT","P10721",-0.60658524866093,"SL004010","2475.1"
"SL003193","CCL21","O00585",-1.76986507219009,"SL003193","2516.57"
"SL000045","IGFBP3","P17936",-1.37174118308309,"SL000045","2571.12"
"SL000546","PRL","P01236",-3.34716064367412,"SL000546","2585.2"
"SL002644","EGFR","P00533",-3.48435888914283,"SL002644","2677.1"
"SL005217","SIGLEC6","O43699",-1.14056942129386,"SL005217","2741.22"
"SL021043","GDF11 MSTN","O95390|O14793",-0.823056326466531,"SL021043","2765.4"
"SL006924","AGRP","O00253",-3.65328269857753,"SL006924","2813.11"
"SL002081","CDH5","P33151",-0.667299118986498,"SL002081","2819.23"
"SL004644","EDA","Q92838",-1.03743724729842,"SL004644","2826.53"
"SL003173","CXCL1","P09341",0.21116877099016,"SL003173","2985.35"
"SL000428","CGA FSHB","P01215|P01225",1.72694143267871,"SL000428","3032.11"
"SL004354","IL19","Q9UHD0",-1.89916072454495,"SL004354","3035.80"
"SL002704","PTN","P21246",3.07783328227322,"SL002704","3045.72"
"SL004626","ADAMTS5","Q9UNA0",4.14555792815904,"SL004626","3168.8"
"SL010378","RET","P07949",-1.8481903123206,"SL010378","3220.40"
"SL003770","SFRP1","Q8N474",2.01486832532005,"SL003770","3221.54"
"SL006108","CD5L","O43866",0.378699887522806,"SL006108","3293.2"
"SL004438","CST6","Q15828",-0.734958380676451,"SL004438","3303.23"
"SL004610","LRP8","Q14114",-0.950150684986714,"SL004610","3323.37"
"SL004515","PGLYRP1","O75594",0.820974175020742,"SL004515","3329.14"
"SL006910","CTSV","O60911",-0.424445516175075,"SL006910","3364.76"
"SL000064","KLK7","P49862",-1.10126297866754,"SL000064","3378.49"
"SL000565","REN","P00797",0.31859110209918,"SL000565","3396.54"
"SL009324","FSTL3","O95633",1.33549628363655,"SL009324","3438.10"
"SL009089","BCAN","Q96GW7",-3.96488350347949,"SL009089","3461.58"
"SL000507","LTA LTB","P01374|Q06643",-0.253647404476389,"SL000507","3505.6"
"SL006029","CHIT1","Q13231",2.01114798612088,"SL006029","3600.2"
"SL009412","DKK3","Q9UBP4",0.180106849270305,"SL009412","3607.71"
"SL011069","PRSS27","Q9BQR3",-3.57042500712505,"SL011069","3624.3"
"SL000254","ALB","P02768",3.93509369218138,"SL000254","3707.12"
"SL003183","CXCL10","P02778",0.570760169422428,"SL003183","4141.79"
"SL004359","NTF3","P20783",-2.16268275750233,"SL004359","4145.58"
"SL003198","TNC","P24821",-0.905119676839827,"SL003198","4155.3"
"SL013490","BOC","Q9BWV1",-1.2972952839811,"SL013490","4328.2"
"SL003869","GDF15","Q99988",4.22251142383395,"SL003869","4374.45"
"SL014028","ENTPD5","O75356",3.01557326616999,"SL014028","4437.56"
"SL008945","TGM3","Q08188",0.0480780203485136,"SL008945","4471.50"
"SL000522","MMP12","P39900",1.34825893158274,"SL000522","4496.60"
"SL014092","CDON","Q4KMG0",-8.70565751340418,"SL014092","4541.49"
"SL001896","CLU","P10909",-0.000752606736968296,"SL001896","4542.24"
"SL007153","LPO","P22079",-0.892827128249811,"SL007153","4801.13"
"SL002823","SELL","P14151",-6.79808354115498,"SL002823","4831.4"
"SL003310","VEGFA","P15692",0.220165517006719,"SL003310","4867.15"
"SL003300","CCL16","O15467",0.642023598657346,"SL003300","4913.78"
"SL003182","ITGAV ITGB5","P06756|P18084",0.622672234897618,"SL003182","4917.62"
"SL008178","DPT","Q07507",1.26416741234197,"SL008178","4979.34"
