SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
(Intercept),,,102.507884092405,,
10015-119,KCNAB2,Q13303,0.0437986126171557,SL014924,seq.10015.119
10024-44,HOGA1,Q86XE5,0.00511777643050304,SL019235,seq.10024.44
10043-31,BRD4,O60885,-0.0230719342167144,SL019249,seq.10043.31
10054-3,GAN,Q9H2C0,0.199748016932507,SL019232,seq.10054.3
10064-12,RBBP9,O75884,0.248757478423702,SL011550,seq.10064.12
10086-39,CBS,P35520,-0.15860464556627,SL018882,seq.10086.39
10362-35,MYC,P01106,0.206093119750799,SL002565,seq.10362.35
10442-1,TMEM190,Q8WZ59,0.0187406656571101,SL018089,seq.10442.1
10453-7,CEACAM20,Q6UY09,-0.0856350747722874,SL018233,seq.10453.7
10499-1,TMEM106A,Q96A25,0.024670938865285,SL008733,seq.10499.1
10514-5,PTGDS,P41222,0.772476705726607,SL005360,seq.10514.5
10521-10,MXRA8,Q9BRK3,0.260276278245533,SL017989,seq.10521.10
10534-40,PARP1,P09874,-0.0816215122142191,SL003527,seq.10534.40
10551-7,LAT,O43561,-0.00801613199601826,SL007008,seq.10551.7
10558-26,PCDH9,Q9HC56,0.424987712142652,SL008436,seq.10558.26
10560-1,ITM2C,Q9NQX7,-0.0931308879942924,SL017978,seq.10560.1
10563-13,LYSMD3,Q7Z3D4,0.0980834102626128,SL018021,seq.10563.13
10565-19,SLITRK3,O94933,0.192984704512355,SL017951,seq.10565.19
10572-65,CST8,O60676,0.0675469460709984,SL012372,seq.10572.65
10575-31,PUF60,Q9UHX1,0.276353289005797,SL018139,seq.10575.31
10615-18,MPZ,P25189,-0.329879288349364,SL008066,seq.10615.18
10623-19,MUC1,P15941,0.0634735814774276,SL000001,seq.10623.19
10643-16,OLFM3,Q96PB7,-0.0299641657291181,SL012572,seq.10643.16
10667-78,C1orf185,Q5T7R7,-0.184262511122114,SL018036,seq.10667.78
10703-203,SUDS3,Q9H7L9,-0.202819509103523,SL006737,seq.10703.203
10713-151,CD300LB,A8K4G0,0.0171500145819294,SL017073,seq.10713.151
10754-113,PROK2,Q9HC23,-0.127270766418192,SL005237,seq.10754.113
10756-34,UCN3,Q969E3,0.0868623698602268,SL012761,seq.10756.34
10825-12,VSIG10,Q8N0Z9,0.0219393874345237,SL018584,seq.10825.12
10842-7,GCNT4,Q9P109,0.0105725889899946,SL018620,seq.10842.7
10876-300,BRAT1,Q6PJG6,0.0143425331902326,SL018839,seq.10876.300
10892-8,OSMR,Q99650,-0.103652762639869,SL007619,seq.10892.8
10895-28,TMPRSS11B,Q86T26,0.0215610202093072,SL017961,seq.10895.28
10916-44,PLA2R1,Q13018,0.00805926887841247,SL013523,seq.10916.44
10939-16,PLEKHA4,Q9H4M7,0.0538633777377268,SL018105,seq.10939.16
10940-25,SRL,Q86TD4,-0.0230147808677568,SL008242,seq.10940.25
10949-59,RPLP2,P05387,0.178145934434635,SL008009,seq.10949.59
10956-82,GCSH,P23434,-0.0868326890232713,SL009212,seq.10956.82
10974-20,SPINK7,P58062,-0.0848791869079715,SL012454,seq.10974.20
10981-56,NRG3,P56975,-0.0663240003855471,SL013799,seq.10981.56
11109-56,SVEP1,Q4LDE5,0.0956854233899882,SL012540,seq.11109.56
11120-49,NAT14,Q8WUY8,-0.0256860766745649,SL019329,seq.11120.49
11155-16,COL6A5,A8TX70,-0.052818384137386,SL019315,seq.11155.16
11173-29,MILR1,Q7Z6M3,0.0527753042019633,SL019119,seq.11173.29
11177-16,KRT5,P13647,-0.106281750767465,SL006465,seq.11177.16
11178-21,SVEP1,Q4LDE5,0.0659781735919397,SL012540,seq.11178.21
11190-129,YME1L1,Q96TA2,0.125806692228273,SL019328,seq.11190.129
11193-27,HNF1A,P20823,0.0910311405437037,SL019342,seq.11193.27
11196-31,COL6A3,P12111,-1.12150235580924,SL004928,seq.11196.31
11205-10,ITGB7,P26010,-0.0536683874110555,SL004571,seq.11205.10
11208-15,NAGPA,Q9UK23,-0.674216481349007,SL019369,seq.11208.15
11214-40,DNAJB9,Q9UBS3,-0.320649889946342,SL019363,seq.11214.40
11228-37,RIC3,Q7Z5B4,-0.224414145508168,SL018079,seq.11228.37
11237-49,PCOLCE,Q15113,0.0555359900403857,SL006539,seq.11237.49
11242-33,TGM1,P22735,-0.0277907356399744,SL019353,seq.11242.33
11243-90,ADGRF1,Q5T601,-0.043973831140599,SL019357,seq.11243.90
11258-41,MADCAM1,Q13477,0.183020606320129,SL004569,seq.11258.41
11266-8,SELPLG,Q14242,-0.392328642385134,SL007418,seq.11266.8
11277-23,ATF6,P18850,-0.223027958566957,SL014732,seq.11277.23
11283-13,DCAF5,Q96JK2,0.0189964750269451,SL019361,seq.11283.13
11302-237,TNR,Q92752,-0.30105789674197,SL008783,seq.11302.237
11330-15,CSNK2B,P67870,-0.0619368750053571,SL013806,seq.11330.15
11352-42,TTN,Q8WZ42,0.211259287867338,SL006679,seq.11352.42
11360-39,RRM1,P23921,-0.0972391140428205,SL009588,seq.11360.39
11383-41,KRT7,P08729,0.15369382950773,SL001732,seq.11383.41
11388-75,WFDC2,Q14508,0.230106761942126,SL001690,seq.11388.75
11462-8,RBFOX2,O43251,-0.0544424165510415,SL011160,seq.11462.8
11468-15,RBM19,Q9Y4C8,-0.0214112418420175,SL019467,seq.11468.15
11486-26,ZNF174,Q15697,0.0577791666211027,SL019479,seq.11486.26
11537-12,TFR2,Q9UP52,0.10808803531163,SL008830,seq.11537.12
11547-84,MUSK,O15146,0.110667073458736,SL019518,seq.11547.84
11551-16,HMG20B,Q9P0W2,-0.0439496812701166,SL019534,seq.11551.16
11563-51,SYTL4,Q96C24,-0.0821822146452276,SL016500,seq.11563.51
11591-43,PRC1,O43663,0.0825989146774345,SL007011,seq.11591.43
11606-22,DNAJB6,O75190,6.99281132466174e-05,SL019538,seq.11606.22
11607-15,BRD1,O95696,-0.129009140474065,SL016389,seq.11607.15
11661-11,NLRP1,Q9C000,0.00938191036236644,SL019570,seq.11661.11
11827-7,RORC,P51449,0.0881765056294411,SL019486,seq.11827.7
11955-1,ARHGAP1,Q07960,0.0462651835825538,SL008179,seq.11955.1
11969-5,S100A2,P29034,-0.243719855374047,SL004807,seq.11969.5
12008-3,CD7,P09564,-0.163858698893608,SL007098,seq.12008.3
12022-12,SMAD4,Q13485,-0.047373595695746,SL000132,seq.12022.12
12033-3,BUB1,O43683,0.0496242422263573,SL007012,seq.12033.3
12338-27,EGFLAM,Q63HQ2,0.155880304067183,SL019671,seq.12338.27
12343-14,ACAP2,Q15057,-0.361784343376575,SL011226,seq.12343.14
12370-30,APOF,Q13790,-0.100560049684653,SL006348,seq.12370.30
12408-333,RAB22A,Q9UL26,-0.0223537720377262,SL015330,seq.12408.333
12417-46,TPRKB,Q9Y3C4,1.02886089004362,SL019708,seq.12417.46
12423-38,A1CF,Q9NQ94,0.126464120015454,SL019697,seq.12423.38
12438-127,MPG,P29372,0.118898876885574,SL014754,seq.12438.127
12439-67,IRF9,Q00978,-0.00239724685111655,SL004395,seq.12439.67
12454-105,NTMT1,Q9BV86,-0.0365342999997675,SL019732,seq.12454.105
12456-5,PFKFB3,Q16875,-0.0552703481066156,SL019744,seq.12456.5
12462-20,SETMAR,Q53H47,-0.242607351663221,SL019733,seq.12462.20
12477-42,TSN,Q15631,0.0750768558760413,SL019734,seq.12477.42
12479-50,PRKAR1B,P31321,0.0628264360482009,SL014768,seq.12479.50
